Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,أعتقد أنه سيصبح غنياً يوماً ما.,I believe he is going to be rich one day.
,,لا شيء في بالي للكتابة عنه.,I can't think of anything to write about.
,,لم أعرف كيف أجيب على سؤاله.,I didn't know how to answer his question.
,,"أنا لا أصدقك, أنت تكذب دائماً.",I don't believe you. You're always lying.
,,"أنا لا أصدقُكِ, أنتِ دائماً تكذبين.",I don't believe you. You're always lying.
,,لا أعلم متى سأعود بالتحديد.,I don't know exactly when I will be back.
,,أظن أنني يمكنني الانتظار أكثر قليلا.,I guess I could wait a little bit longer.
,,عشت هنا قرابة الستين عاماً.,I have lived here a little over 60 years.
,,أواجه صعوبةً في التحدث عن مشاعري.,I have trouble talking about my feelings.
,,كل ما في الأمر أني لا أريد الخروج الليلة.,I just don't feel like going out tonight.
,,ليس لدي رغبة في الخروج الليلة فحسب.,I just don't feel like going out tonight.
,,فتحتُ الباب وخرجت من السيارة.,I opened the door and got out of the car.
,,أتذكر أني رأيتها مرة على الطريق.,I remember seeing her once on the street.
,,أذكر أني لمحتها مرة على الطريق.,I remember seeing her once on the street.
,,رأيت ثعلبًا يقطع الطريق للتو.,I saw a fox run across the road just now.
,,اعتقد من المحتمل بان توم يفضل هذا الفلم.,I think Tom is likely to like this movie.
,,أريد الإجابةَ على السؤال الأخير أولاً.,I want to answer the last question first.
,,أريد أن أقضي وقتًا أكثر معك وحدنا.,I want to spend more time alone with you.
,,كنت خائفاً من أن أضيع في الظلمة.,I was afraid of getting lost in the dark.
,,من حسن حظي أن صرتُ صديقه.,I was fortunate to make his acquaintance.
,,أنا لا أريد أن تتأخر على الصف.,I wouldn't want you to be late for class.
,,أخيرا أنهيتُ كتابة التقرير.,I've finally finished writing the report.
,,بعثت برسالة بدلاً من الذهاب بنفسي.,"Instead of going myself, I sent a letter."
,,أحقّا سيذهب توم إلى بوسطن لوحده؟,Is Tom really going to Boston by himself?
,,هل هذه صورة أنتَ رسمتَها بنفسك؟,Is this a picture that you yourself drew?
,,هل هذه صورة أنتِ رسمتِها بنفسك؟,Is this a picture that you yourself drew?
,,ليس من الأدب أن تتكلم و فمك ممتلئ.,It is rude to speak with your mouth full.
,,يبدو هذا المنزل مخرّبا بالكامل.,It looks like this house is a total mess.
,,وكأن أعواما مضت منذ صباح الأحد.,It seems like years since Sunday morning.
,,يحتاج اكتساب اللغة إلى الإبداع.,Language acquisition requires creativity.
,,تعلم لغة أجنبية صعب.,Learning a foreign language is difficult.
,,تقول الاسطورة أن هذا البيت مسكون.,Legend has it that this house is haunted.
,,دعنا نخرج من هنا قبل أن يرانا توم.,Let's get out of here before Tom sees us.
,,دعينا نخرج من هنا قبل أن يرانا توم.,Let's get out of here before Tom sees us.
,,دعونا نخرج من هنا قبل أن يرانا توم.,Let's get out of here before Tom sees us.
,,ألف جملة لكلٍ من هذه الكلمات.,Make a sentence with each of these words.
,,معظم الناس يكتبون عن حياتهم اليومية.,Most people write about their daily life.
,,تقوم أمي بإعداد كعكة لأجل أبي.,My mother is making a cake for my father.
,,تعد أمي كعكة لأبي.,My mother is making a cake for my father.
,,أحدهما ياباني و الآخر إيطالي.,One is Japanese and the other is Italian.
,,إحدى الحقائب فارغة تماماً.,One of the suitcases is completely empty.
,,من فضلك لا تتحدث عني أثناء غيابي.,Please don't talk about me when I'm gone.
,,من فضلك اكتب ما سأقوله.,Please write down what I am going to say.
,,غالباً ما تسبب الاصطدامات الخلفية اصابة في الرقبة .,Rear end collisions often cause whiplash.
,,تبغضه لأنه فقير فحسب.,She despises him only because he is poor.
,,كرة القدم هي رياضة العالم الأكثر شعبيّة.,Soccer is the world's most popular sport.
,,جهاز تحكم التلفاز تحت الأريكة.,The TV remote control is under the couch.
,,احترقت المنازل واحدة تلو الأخرى.,The houses caught fire one after another.
,,قام المتظاهرون بضرب العديد من رجال الشرطة حتى الموت.,The rioters beat many policemen to death.
,,أثًّر الإضراب على اقتصاد البلاد.,The strike affected the nation's economy.
,,حفظ الطلبة الكثير من القصائد.,The students learned many poems by heart.
,,سعة الخزان خمسون جالوناً.,The tank has a capacity of fifty-gallons.
,,المدرس عند المدير.,The teacher is with the school principal.
,,العالم مليء بمروجي الشائعات والكذابين.,The world is full of gossipers and liars.
,,هناك الكثير من الورود الحمراء في الحديقة.,There are many red flowers in the garden.
,,هناك العديد من الجامعات في كيوتو.,There are numerous universities in Kyoto.
,,لا يوجد سبب لئلا أفعله.,There is no reason why I shouldn't do it.
,,هم يطالبون بساعات عمل أقل.,They are demanding shorter working hours.
,,يُقال أن البندقيّة مدينة جميلة.,They say that Venice is a beautiful city.
,,بعد ظُهر هذا اليوم سيكون لدينا مقابلة.,This afternoon we will have an interview.
,,هذا أسوأ فلم شاهدته في حياتي.,This is the worst movie I have ever seen.
,,هذا الدواء سيخفف من صداعك.,This medicine will relieve your headache.
,,من شأن هذا الدواء أن يخفف من شأن حدة صداع رأسك.,This medicine will relieve your headache.
,,هذا سؤال مهم جداً.,This question is one of great importance.
,,ارم العصى وشاهد الكلب يجلبها.,Throw a stick and watch the dog fetch it.
,,أنجزت واجباتي مبكراً اليوم.,"Today, I was done with my homework early."
,,أصاب الإحباط توم بعدما تركته ماري.,Tom became depressed after Mary left him.
,,"قرر ""توم"" أن يبدأ بتعلم اللغة الفرنسية",Tom has decided to start studying French.
,,توم ليس مؤهلاً لتدريس المدرسة الثانوية.,Tom isn't qualified to teach high school.
,,توم غير متأكد من أنه جاهز أم لا.,Tom isn't sure whether he's ready or not.
,,ليس بمقدور توم كتابة اسمه بعد.,Tom isn't yet able to write his own name.
,,خسر توم ثلاثة ملايين دولار السنة الماضية.,Tom lost three million dollars last year.
,,قال توم بأنه يريد شيئا آخر يأكله.,Tom said he wanted something else to eat.
,,توم أمضى فترة بعد الظهر بأكملها مع ماري.,Tom spent the entire afternoon with Mary.
,,يظن توم أن على ماري الاعتذار من جون.,Tom thinks Mary should apologize to John.
,,توم أراد أن يذهب أينما كانت ماري تذهب .,Tom wanted to go wherever Mary was going.
,,لم نلق مساعدة من أحد.,We haven't received any help from anyone.
,,نحن بحاجة الى القيام بالاشياء المهمة اولا,We need to do the important things first.
,,نرفع الأعلام في الأعياد الوطنية.,We put up the flags on national holidays.
,,متى يصل هذا القطار إلى يوكوهاما؟,What time does this train reach Yokohama?
,,من دون نصائحك لكنت فشلت.,"Without your advice, I would have failed."
,,لولا نصائحك لفشلت.,"Without your advice, I would have failed."
,,من فضلك، هلّا أخبرتني اسمك ثانيةً؟,Would you please tell me your name again?
,,لا يجب عليك أن تستمع إلی ما يقول.,You don't have to listen to what he says.
,,ليس عليك أن تستمع إلی ما يقول.,You don't have to listen to what he says.
,,كان من الأحسن لو تركت العمل اليوم.,You had better stay away from work today.
,,"Tatoeba معناها ""على سبيل المثال"" باللغة اليابانية.","Tatoeba means ""for example"" in Japanese."
,,الأرملة هي امرأة مات زوجها.,A widow is a woman whose husband has died.
,,بعد لحظة، دخل الرجل الى الغرفة.,"After a while, the man came into the room."
,,فقد الأمريكيون ثقتهم في تويوتا.,Americans have lost their trust in Toyota.
,,كلا والداي لا يعرفان كيف يسبحان,Both of my parents don't know how to swim.
